Name,Food Source,Sample Size ,Biological Sample , Analytic Procedure  ,Literature name 
 Sucrose , - , - , Urine (24hr) , UPLC-MS/MS , ID1486 
 Sucrose ," Apple, Peach, Rice, Milk, Honey ", - , - , - , ID1944 
 Sucrose , sugar-sweetened beverages , - , - , - , ID2073 
 Sucrose , - , - , Urine (spot) , GC-MS , ID227 
 Sucrose , choy sum , - , - , - , ID2270 
 sucrose ," strawberries, onions, grapes, tomatoes, eggplants, wheat grain ", - , - ," MALDI, DESI imaging ", ID2354 
 Sucrose , - , - , - , \(^1\)H NMR , ID2624 
 SUM maltose/lactose/sucrose , - , - , - , Primary , ID3117 
 Sucrose , Wakame , - , - , - , ID3525 
 sucrose , - , - , - , - , ID3763 
 Sucrose , - , - , - , - , ID4364 
 Sucrose , - , - , - , - , ID4614 
 Sucrose , Sugar intake , - , Urine , - , ID5472 
 Sucrose , Sugary foods and drinks , - , Urine , HILIC , ID769 
 Sucrose , Sweetened foods , - , Urine (first morning void) , UHPLC-MS/MS , ID77 
 Sucrose , - , - , Urine (24hr) , - , ID854 
 Sucrose , sugar , 12 male adults; 13 adults; 7 adults , Urine (24 hr) , Enzymatic; GC-MS , ID879 
 Sucrose , Brown sugar , - , - , - , PMC10053316 
 Sucrose , Coffee beans , - , - ," PCA, OPLS-DA ", PMC10651463 
 Sucrose , Wine , - , Urine ," GC-MS, LC-MS/MS, H-NMR ", PMC10673339 
 Sucrose , - , - ," Urine (24-hr), Urine (morning spot) ", - , PMC11317775 
 Sucrose , - , - , - , - , PMC2780985b 
 sucrose , - , - , - , - , PMC4455235 
 sucrose , - , - , - , - , PMC5621665d 
 Sucrose ," Disaccharides, Candy ", 301 participants , - , - , PMC6134285 
 Sucrose , - , - , - , - , PMC6270952 
 Sucrose , Ginger (leaf and rhizome) , - ," Leaf, Rhizome ", HPLC , PMC6270952b 
 Sucrose , Sweetened-breakfast cereal , - , - , - , PMC6497620 
 sucrose , - , - , feed polar extract , NMR , PMC7143670 
 Sucrose ," added sugars, sucrose intake ", - , Urine (24-h) , Stable isotope-labeled internal standard solution (13C12-sucrose) , PMC7218081b 
 Sucrose , Hongyang kiwifruit , - , - , - , PMC7430263 
 Sucrose , - , - , - , - , PMC7455966 
 Sucrose , - , - , - , - , PMC7569771 
 Sucrose ," Kiwifruit cultivars ('Kuilv', 'Hongyang', 'Hayward') ", - , - , - , PMC8234916 
 Sucrose , Added sugars , 1147 children from 6 cohorts , Urine , $^1\mathsf{H}$ NMR spectroscopy , PMC8789316 
 Sucrose , Apples , - , Apple fruit , HPLC , PMC8851858 
 Sudan I ," Ketchup sauce, Chilli powder; Ketchup, Chilli sauce; Tomato paste, Ketchup sauce, Chilli powder ", - , - , Electrochemical sensing (CuO/3-D nitrogen-doped porous carbon); Electrochemical sensing (La³⁺ doped Co₃O₄ nanocubes); Electrochemical sensing (SnO₂ QDs/Ti₂C₂ MXene) , ID5521 
 Sugar acid U09 ," Fruit juice and juice drink, Fruit juices ",301, Urine , - , PMC6134285 
 Sugars , Capsicum (Chilli peppers); Czech Wine; Wine , - , - , NMR , ID1169 
 Glucose , - , - , Plasma , - , ID1169 
 sugars ," Strawberries, bananas, grapes, eggplant, apple ", - , - ," MALDI, DESI, LAAPPI ", ID2354 
 Sugars , - , - , - , - , ID355 
 Sulfate conjugates of urolithin A , Walnut , - , Urine , HPLC-qTOF-MS , ID900 
 Sulfate of piperine metabolite C16H19NO3 , - , - ," Plasma, 24-h urine ", - , ID1742 
 Sulfate of piperine metabolite , - , - ," Plasma, 24-h urine ", - , ID1742 
 Sulfated phlorotannins , Brown algae , - , - , - , PMC5403934 
 Sulfate , Poultry , - , Serum , - , PMC10940775 
 4-Vinylphenol sulfate , Nuts , - , - , - , PMC10940775 
 Sulfate , - , - ," Plant roots, shoots, xylem sap "," Turbidimetric method, ³⁵S uptake assay ", PMC4049391k 
 Sulfolithocholic acid , wine , - , feces ," UPLC-QTOF-MS, UPLC-ESI-MS/MS ", PMC10673339 
 Sulfolithocholylglycine , - , - ," Plasma, Urine (24-hr) ", - , ID1742 
 Sulfonated caffeic acid , Raspberries , - , Urine , FIE-MS , ID900 
 Sulfoquinovosyl diacylglycerols , Microalgae , - , - , - , PMC5403934 
 Sulforaphane ," Broccoli, Radish ", - , Urine (24hr) , - , ID155 
 Sulforaphane ," Cruciferous vegetables (broccoli, broccoli sprouts) ", - , Peripheral blood mononuclear cells , - , PMC2952894 
 Sulforaphane cysteine , Broccoli , - , Urine , - , ID927 
 Sulforaphane cysteinylglycine , Broccoli , - , Urine , - , ID927 
 Sulforaphane N-acetyl-cysteine ," White cabbage/brussels sprouts, Red cabbage (brussels sprouts, pointed cabbage) ", - , Urine , UPLC-qTOF-MS , ID900 
 Sulforaphane N-acetylcysteine , Cruciferous vegetables , 107 subjects , 24 h urine , LC-qTOF , ID917 
 Sulforaphane N-acetylcysteine , Broccoli , - , Urine , - , ID927 
 Sulforaphane N-cysteine , Cruciferous vegetables , - , Urine , UPLC-qTOF-MS , ID900 
 Sulforaphane-CYS ," Broccoli sprouts, Radish sprouts ", - , Urine (24hr) , UHPLC-QqQ-MS/MS , ID155 
 Sulforaphane-cysteine , Cruciferous vegetables , - , - , - , PMC2952894 
 Sulforaphane-cysteine , Broccoli , - , - , - , ID919 
 Sulforaphane-GSH ," Broccoli sprouts, Radish sprouts ", 14 subjects , Urine (24hr) , UHPLC-QqQ-MS/MS , ID155 
 Sulforaphane-N-acetyl-cysteine , Broccoli , - , Urine , - , ID919 
 Sulforaphane-N-acetyl-L-cysteine , Radish sprouts , - , Urine , UHPLC-QTRAP , ID900 
 Sulforaphane-N-acetylcysteine , - , - , - , - , PMC2952894 
 Sulforaphane-NAC ," Radish, Broccoli sprouts ", 14 subjects , Urine (24hr) , - , ID155 
 Sulforaphane , - , - , - , - , ID2301 
 Sulforaphane , Cruciferous , - , Urine , LC-MS/MS , ID900 
 Sulforaphane-N-acetyl-L-cysteine , Radish sprouts , - , Urine , UHPLC-QTRAP , ID900 
 Sulforaphane N-acetyl-cysteine ," Red cabbage (brussels sprouts, pointed cabbage); White cabbage/brussels sprouts ", - , Urine , UPLC-qTOF-MS , ID900 
 sulforaphane-n-acetyl-cysteine , broccoli , - , - , - , ID919 
 sulforaphane , broccoli , - , - , - , ID919 
 sulforaphane-cysteine , broccoli , - , - , - , ID919 
 Sulforaphane ," Broccoli, Broccoli sprouts, Cruciferous vegetables ", - , - , - , ID927 
 Sulforaphane N-acetylcysteine , Broccoli , - , Urine , - , ID927 
 Sulforaphane cysteine , Broccoli , - , Urine , - , ID927 
 Sulforaphane cysteinylglycine , Broccoli , - , Urine , - , ID927 
 Sulforaphane , Cruciferous vegetables , - , - , - , PMC11317775 
 Sulforaphane , Phytochemical diet , - , - , - , PMC6356665 
 Sulforaphene , Radish sprouts , - , Urine (24hr) , UHPLC-QqQ-MS/MS , ID155 
 Sulforaphene , Radish sprouts , - , Urine , UHPLC-QTRAP , ID900 
 Sulfosalicylic acid , - , - , Urine , UPLC-QTOF-MS , PMC10673339 
 Sulfur containing compounds , doenjang , - , - , HS-SPME/GC-TOF-MS , PMC8624193 
 Sulfur isotope ratio , Fish , - , Serum (fasting) , Elementar vario ISOTOPE cube interfaced to a SerCon 20-22 isotope ratio mass spectrometer , ID300 
 sulfur-34 ," seafood, marine-based foods "," 82 Greenland Inuit, 32 Danes ", fingernails , isotope ratio mass spectrometry , ID1559 
 3-Hydroxy-3-(methylsulfinyl)propanoic acid , - , - , - , - , ID917 
 Caffeic acid-sulphate , - , - , - , - , ID917 
 S-methyl-L-cysteine sulfoxide , - , - , - , - , ID917 
" 1,3-dihydrophenyl-2-O-sulphate ", - , - , - , - , ID917 
 N-acetylserotonine-sulphate , - , - , - , - , ID917 
 2-aminophenol-sulphate , - , - , - , - , ID917 
" 3,5-dihydroxycinnamic acid-sulphate ", - , - , - , - , ID917 
 4-Vinylphenol sulphate , - , - , - , - , ID917 
" 3,5-dihydroxyphenylethanol sulphate ", - , - , - , - , ID917 
 Dihydroferulic acid sulphate , - , - , - , - , ID917 
 Hydroxyindoleacetic acid sulphate , - , - , - , - , ID917 
 N-acetylserotonin sulphate , - , - , - , - , ID917 
 Methyl(epi)catechin sulphate , - , - , - , - , ID917 
 Sulphite ," Milk, Soft drink, Water, White wine, Wine ", - , - ," Electrochemical sensor (Fe₃O₄/SiO₂, Ce³⁺ doped CuO, LaFeO₃/Graphene, CuO-based sensors) ", ID5521 
 Sulphoraphane , Cruciferous vegetables , - , Plasma , LC-HRMS , PMC10689354 
 SUM glycodeoxycholate , - , - , - , - , ID3117 
 SUM hexose diphosphate , HFPM diet , - , Urine (24-hour) , - , ID1747 
 SUM maltose sucrose lactose , high-carbohydrate vegan (HCV) diet , - , Urine (24-hour) , - , ID1747 
 SUM maltose/lactose/sucrose , - , - , - , Primary , ID3117 
 Sum n-3 fatty acids , - , - , Erythrocytes , - , ID226 
 sum n-3 PUFA, fatty fish , - , Plasma , - , ID327 
 Sum n-6 fatty acids , - , - , Erythrocytes , - , ID226 
 sum n-6 PUFA, marine food , - , Plasma , - , ID327 
 SUM_UDP-galactose_UDP-glucose , - , - , DBS , - , ID1747 
 Superoxide anion , - , - , - , Spectrophotometry , PMC8851858 
 Superoxide dismutase , TFE , - , Hepatic , - , ID1267 
 Superoxide dismutase , - , - , - , - , ID4679 
 Superoxide dismutase , - ," 20 (10 young, 10 aged) ", Plasma , NWLSSTM Superoxide Dismutase Activity Assay (Northwest Life Science Specialties) , PMC4663796 
 Superoxide dismutase , - , - , Fresh red blood cells ," Bicinchoninic acid assay (BCA kit, Thermo, Rockford, IL, USA); SOD activity assay ", PMC4912751 
 Superoxide dismutase , - , - , Plasma , FRAP method , PMC4976856 
 Superoxide dismutase , - , - , BEND cells , - , PMC6650895 
 Superoxide dismutase , Kiwifruit , - , - ," Spectrophotometric assay (method of Xu (2019), absorbance at 550 nm, TU-1901) ", PMC8234916 
 Superoxide dismutase [Cu-Zn] 1 , - , - , - , - , PMC7693931 
 Superoxide dismutase [Cu-Zn] 2 , - , - , - , - , PMC7693931 
 Sutinasterol , EVOO (Tunisian and Italian) , - , - , OPLS-DA , ID3232 
 Sutterella spp. , 6 foods , - , - , - , ID5039 
 symmetric dimethylarginine , - , - , Urine , - , PMC11600117b 
 Symmetric dimethylarginine , - , - , Plasma , High-performance liquid chromatography system coupled to triple quadrupole mass spectrometer , PMC5502164 
 Symmetric dimethylarginine , - , - , - , - , PMC6356665b 
 Symmetric dimethylarginine , - , - , Urine , - , PMC10608872 
 symmetric dimethylarginine , - ,141, - , - , PMC8902803 
 Symmetric dimethylarginine , - , - , Plasma , - , PMC9926800b 
 Syndecan-1 , - , - , Plasma ," Assay kit (Diaclone, France) ", PMC10896497 
 Synephrine hydrogen sulfate , Orange juice , - , Plasma , UHPLC-IMS-QTOF , PMC7400617b 
 Synephrine ," Orange, Tangerine ", 10 subjects , Urine , LC−MS/MS (SIDA and ECHO method) , ID1083 
 synephrine ," citrus species (e.g., C. aurantium) ", - , - , - , PMC8510114 
 Syringaldehyde , - , - , - , - , ID2953 
 Syringaldehyde ," Tomato cultivars (H1015 F1, H2206 F1, H3402 F1, H3406 F1, Jet F1, Cruiser F1) ", - , - , - , ID4213 
 Syringaldehyde , Quinoa , - , - , - , PMC9598553 
 syringaldehyde , - , - , - , UPLC-MS/MS , PMC9643864 
 Syringaresinol , - , - , - , - , ID2953 
 Syringaresinol , - , - , - , - , ID3265 
 Syringaresinol ," Sunflower, Flaxseed, Poppy, Sesame, Pumpkin seeds ", - , - , UHPLC-ESI-QTOF-MS , ID3664 
 Syringaresinol , Olive oil , - , - , FLD , PMC5085660b 
 Syringetin 3-O-hexoside , golden buckwheat rhizomes , - , - , - , PMC9247553 
 Syringetin-hexoside , Cranberry , - , - , - , PMC10637324b 
 Syringic acid , - , - , - , FLD (λem = 380 nm) , PMC5085660 
 Syringic acid , - , - , - ," LC-FLD, MS ", PMC5085660b 
 syringic acid glucuronide , whole grain wheat , - , Urine , - , ID245 
 Syringic acid glucuronide , Wine , - , Urine , UPLC-MS/MS , PMC10673339 
 Syringic acid sulfate , Total fruits , - , Urine , - , ID1051 
 Syringic acid sulfate , Red wine , - , - , - , ID1234 
 syringic acid sulfate , whole grain wheat , - , Urine , high-resolution LC-MS , ID245 
 Syringic acid sulfate , Wine , - , Urine ," UPLC-ESI-MS/MS, UPLC-QTOF-MS ", PMC10673339 
 Syringic acid sulfate , - , - , - , - , PMC7603051 
 Syringic acid sulfate , - , - , Urine ," Chromatography, Fragmentation analysis ", PMC7603051b 
 Syringic acid-4-O-(6'-feruloyl) glucoside , QYC pakchoi cultivar , - , - , - , PMC11031806 
 Syringic acid-4-sulfate , - , - , - , - , PMC10456218b 
 Syringic acid , Wine , - , - , NMR , ID1944 
 syringic acid , whole grain wheat , - , Urine , PRM analysis , ID245 
 Syringic acid , - , 7 subjects , Plasma , HPLC–ECD , ID2882 
 Syringic acid , - , - , - , - , ID4027 
 syringic acid , wine (anthocyanin) , - , - , MRM , ID4109 
 Syringic acid , Chardonnay wines , n=5 , - , - , ID4123 
 Syringic acid , - , - , - , - , ID4294 
 Syringic acid , Avocado , - , - ," GC–APCI-MS, GC–FID ", ID4495 
 syringic acid , - , - , - , - , ID466 
 Syringic acid , Mixed red wine/grape juice extracts , 6 subjects , 24 h urine ," NMR, GC-TOF-MS ", ID917 
 Syringic acid , Dealcoholized red wine , - , - , - , ID927 
 Syringic acid , Wine , - ," Urine, plasma, feces "," GC-MS, GC-TOF-MS, UPLC-ESI-MS/MS, UPLC-TOF-MS ", PMC10673339 
 Syringic acid sulfate , Wine , - , Urine ," UPLC-ESI-MS/MS, UPLC-QTOF-MS ", PMC10673339 
 Syringic acid glucuronide , Wine , - , Urine , UPLC-MS/MS , PMC10673339 
 syringic acid , - , - , - , - , PMC5621665d 
 Syringic acid ," Weight loss diets (NPWL, NPAAWL, HPWL) ", - , Faecal waters , - , PMC6499751 
 Syringic acid , Cocoa , - , - , - , PMC8470844 
 syringic acid , Citrus species , - , - , - , PMC8510114 
 syringic acid , - , - , - , UPLC-electrospray ionization-MS/MS , PMC9643864 
 Syringin , Chinese cabbage , - , - , - , ID2301 
 Syringin , Pakchoi , - , - , - , PMC11031806 
 Syringin , - , 18 volunteers , Faecal waters , ANOVA , PMC6499751 
 Syringol sulfate , Smoked-meat , - , - , - , PMC11317775 
 Syringol sulfates ," smoked meat (bacon, salami, hot dogs) ", - , - , - , ID229 
 Syringol sulfate , smoked meat products , 474 subjects , Urine (24-hr) , - , ID2218 
 syringol sulfate , Food Component/Plant , - , - , - , PMC5621665d 
 Syringol , Smoked meat , - , - , - , ID5405 
 Syringoylcaffeoylquinic acid-D-glucose , - , - , - , - , PMC11031806 
 t-16:1 , dairy , - , DBS , - , ID1819 
 t-18:1 , PHOs (main source) , - , DBS , Fatty acid analysis , ID1819 
 t-18:2 , extreme heat-treated plant oils , - , DBS , Chromatography , ID1819 
 T-cell surface glycoprotein CD8 alpha chain , Dietary fiber , 48 obese subjects ≥30 years , - , - , PMC10969769 
" TAG (C16:0,C16:1) ", - , - , - , - , PMC6465680 
" TAG (C16:0,C18:1,C18:3) ", - , - , Plasma , - , PMC6465680 
" TAG (C16:0,C18:2) ", - , - , - , - , PMC6465680 
" TAG (C16:0,C18:2,C18:2) ", - , - , - , - , PMC6465680 
" TAG (C16:1,C18:1,C18:2) ", - , - , - , - , PMC6465680 
 Talose , Whey fermented with Lactobacillus plantarum and Kluyveromyces lactis (WLK) , - , - , - , ID2994 
 tamarixetin , vegetables and fruit , - , - , - , ID1619 
 Tamarixetin , - , - , Urine , LC-MS , ID226 
 tangeretin , - , - , - , - , ID3974 
 Tangeretin , Quinoa , - , - , - , ID3980 
 Tangeretin ," Citrus species (e.g., C. reticulata, C. sinensis) ", - , - , - , PMC8510114 
 Tangutorid E , Processed tomato products , - , Urine , - , ID1380 
 Tangutorid E glucuronide , Tomato juice , - , Urine , - , ID1380 
 Tangutorid E , Tomato juice , - , Urine ," LC-HRMS, NMR spectroscopy ", ID1441 
 Tangutorid F ," tomato juice, processed tomato products ", - , Urine , - , ID1380 
 Tangutorid F glucuronide , processed tomato products , - , Urine , - , ID1380 
 Tangutorid F , Tomato juice , - , Urine ," LC-HRMS, NMR ", ID1441 
 Tannic acid , - , - , Plasma , - , ID5511 
 Tannins , Sorghum , - , - , HCl-vanillin assay , ID3467 
 Tannins ," Termites, Grasshoppers ", - , - , UV-VIS spectrophotometer , ID5265 
 Tannins , - , - , - , - , PMC6668860 
 Hydrolyzable tannins , - , - , - , - , PMC6668860 
 Tannins , Lettuce , - , - , - , PMC9219965 
 Tannin , H. Bara rhizome , - , - , - , PMC6270952b 
 Tartarate , Grapes , - , Urine , HILIC , ID769 
 tartarate , - , - , - , - , PMC5621665 
 Tartaric acid ," Grapes, prunes, wine ", - , Urine (spot or 24hr) , - , ID1001 
 Tartaric acid , grape , - , Urine , NMR spectroscopy , ID1003 
 Tartaric acid ," Grapes, grape juice, wine "," 6 subjects (pilot), additional interventions ", Urine (24hr) , Nuclear magnetic resonance (NMR) spectroscopy , ID1154 
 Tartaric acid , Red grape , - , Urine , - , ID1435 
 Tartaric acid ," Wine, Vinegar, Honey ", - , - , - , ID1944 
 Tartaric acid , Wine , - , - , - , ID2022 
 Tartaric acid ," Wine, Grapes ", - , Urine , - , ID3 
 Tartaric acid , Soybean meal yogurt , - , - , - , ID3789 
 Tartaric acid , Fruit , - , - , Untargeted ¹H NMR , ID4906 
 Tartaric acid ," Wine, grapes, tamarind "," 5 subjects (single-dose), 80 samples (method validation), sub-sample of postmenopausal women (PREDIMED study) "," Urine (spot, 24-h) "," LC–MS, \(^1H\)-NMR ", ID5438 
 Tartaric acid ," Grapes, wine ", - , Urine (24-hr) ," NMR, targeted analysis ", ID5526 
 Tartaric acid , Grape , - , Urine , - , ID986 
 Tartaric acid , Coffee , - , - , - , PMC10651463 
 Tartaric acid , wine , - , urine ," UPLC-TOF MS, H-NMR ", PMC10673339 
 Tartaric acid , Wine , - , - , - , PMC11317775 
 Tartaric acid , - , - , - , - , PMC11475530 
 Tartaric acid , - , - , Serum , - , PMC11475530b 
 Tartaric acid , Wine/grapes , - , Urine (FMV) , - , PMC6497620 
 tartaric acid , linseeds , - , - , - , PMC6609671 
 Tartaric acid , - , - , - , - , PMC8230005 
 tartaric acid , citrus fruits , - , - , - , PMC8510114 
 Tartrate ," Wine, Vinegar ", - , - , - , ID1944 
 Tartaric acid/tartrate ," Wine, grapes ", - , - , - , ID2022 
 Tartaric acid , Grape , - , Urine , NMR spectroscopy , ID900 
 Tartrate , Formula milk (vs. human milk); Wine , - , Urine , NMR spectroscopy , ID900 
 Tartrate , Mixed red wine/grape juice extracts , 6 subjects , 24 h urine ," NMR, GC-TOF-MS ", ID917 
 Tartrate , Red wine , - , - , - , PMC5728065 
 Tartrate ," tea, red wine, citrus fruit, apples, pears, chocolate, wine polyphenols ", - , - , - , PMC6356665 
 Tartronate (hydroxymalonate) , - , - , - , - , ID264 
 Taurallocholic acid , Fermented buckwheat , - , - , - , ID2311 
 Taurine , - , - , Plasma , - , PMC10818399 
 Taurine , - , 41 subjects , - , - , PMC5502164 
 Taurine cholic acid , - , - , Cecum , LC-MS/MS , PMC11064513 
 Taurine ," Protein-rich foods, red meat, fish, high-meat diets ", - , Urine , - , ID1001 
 Taurine ," Milk and milk products, Meat ", - , - , 1D (1H) NMR combined with LC-MS metabolomics , ID1169 
 Taurine ," high-fat, high-protein meat (HFPM) diet ", - , Urine (24-hour) , - , ID1747 
 Taurine , - , - , Maternal fasting serum , UPLC-MS , ID1996 
 Taurine , - , - , Duodenal flow , - , ID2010 
 Taurine ," high-meat, black tea ", - , Urine , - , ID2103 
 Taurine ," SSBs, foods of animal origin ", 174 participants , Urine , - , ID2116 
 Taurine , - , - , - , - , ID2270 
 Taurine , Okara; Salacca zalacca , - , - , - , ID2311 
 Taurine ," Meat, fish, dairy, energy drinks ", - , - , - , ID2551 
 Taurine , High meat intake , 12 men , - , - , ID303 
 Taurine , - , - , - , Aminomics , ID3117 
 Taurine , High-meat diet , - , Urine , - , ID3533 
 Taurine , - , - , Plasma , - , ID38 
 Taurine , - , - , Plasma , - , ID4320 
 Taurine , - , - , - , - , ID4355 
 Taurine , - , - , Plasma , - , ID4667 
 Taurine , - , - , - , - , ID5102 
 Taurine , Cod , - , Plasma , \(^1\)H NMR Spectroscopy , ID683 
 Taurine , Legumes , - , Urine , - , ID769 
 Taurine ," red meat, animal protein ", 17 male adults , Urine (24 hr) , Ion-exchange chromatography (IEC) , ID879 
 Taurine ," High-meat diet, Atkins diet, Sugar-sweetened beverage ", - , Urine , 1H NMR , ID900 
 Taurine , Sugar-sweetened beverages , 80 subjects ," Fasting, morning spot, 24 h urine ", NMR , ID917 
 Taurine , Sweet and sugary beverages , - , - , - , ID927 
 Taurine , meat , - , Urine , Targeted metabolic analyses , ID986 
 Taurine ," Soft drinks, Meat ",55, Urine , UHPLC-MS/MS , PMC10146414 
 Taurine , - , - , - , - , PMC10269723b 
 Taurine ," Shellfish, dark meat of turkey and chicken ", - , - , - , PMC10892314 
 Taurine , Cherry tomatoes , - , - , - , PMC11274346 
 Taurine , - , - , Urine , NMR , PMC11356420 
 taurine , - , - , Urine , - , PMC11600117b 
 Taurine , - , - , - , - , PMC11634715 
 Taurine , - , - , Fecal , - , PMC4455235 
 Taurine , - , - , - , - , PMC5621665d 
 N-acetyltaurine , - , - , - , - , PMC5621665d 
 N-methyltaurine , - , - , - , - , PMC5621665d 
 Taurocyamine , - , - , - , - , PMC5621665d 
 Taurine , Sugar-sweetened beverages , - , - , - , PMC5728065 
 Taurine ," Modified study formula (contains skimmed milk, lactose, whey, vegetable oils, etc.) ", - , - , - , PMC6033437c 
 Taurine , Small rodents and birds , - , - , - , PMC6262854b 
 Taurine , - , - , Liver , - , PMC6315421 
 Taurine , - , - , Plasma , - , PMC6465680 
 Taurine ," Animal protein, eggs, dairy, shellfish ", 253 subjects ," Urine, Plasma ", - , PMC6937850c 
 taurine , - , - ," Liver, Muscle ", NMR , PMC7143670 
 Taurine , - , - ," Liver, Muscle ", - , PMC7143670b 
 Taurine , - , - , Urine , - , PMC7400847b 
 Taurine , - , - , - , CE-MS , PMC7891659 
 Taurine , - , - , Plasma , - , PMC8033144 
 Taurine , - , - , Liver , - , PMC8494768 
 Taurine , - , - , Urine (24hr) , - , PMC8706571 
 Taurine , - ,141, - , - , PMC8902803 
 Taurine , Cow milk , - , Human urine , - , PMC9296211 
 Taurine , - , 13 subjects , Heart , ¹H-NMR , PMC9321200 
 Taurine , - , - , Feces , NMR-based metabolomics , PMC9455659 
 Taurine , - , - , - , - , PMC9926800 
 Taurine , - , - , Plasma , - , PMC9926800b 
 tauro-alpha-muricholate , - , - , - , - , PMC4455235 
 tauro-beta-muricholate , - , - , - , - , PMC4455235 
 tauro-beta-muricholate , - , - , - , - , PMC5621665d 
 Tauro-beta-muricholic acid , - , - , - , - , ID1187 
 Taurochenodeoxycholate sulfate , Rice bran , - , Fecal , - , PMC10136752 
 Taurochenodeoxycholate , - , - , - , - , ID2963 
 Taurochenodeoxycholate , - , - , - , - , PMC4455235 
 Taurochenodeoxycholic acid , Scenedesmus , - , Feces , - , PMC6770930b 
 Taurochenodeoxycholic acid ," Fermented carrot, Glucomannan ", - , - , - , ID2311 
 Taurochenodeoxycholic acid , - , - , Liver , - , PMC8494768 
 Taurochenodesoxycholic acid , elephant garlic , - , - , OPLS-DA , ID2719 
 Taurocholate , - , - , 24-Hour Urine , - , ID1747 
 Taurocholate , - , - , - , - , PMC4455235 
 taurocholate , rice bran , - , stool , - , PMC5654571 
 taurocholenatesulfate , - , 6 samples per group , Fecal , - , PMC4455235 
 Taurocholic acid , Scenedesmus , - , Feces , - , PMC6770930b 
 Taurocholic acid ," Dendrobium officinale polysaccharides, Fermented carrot ", - , - , - , ID2311 
 Taurocholic acid , - , - , - , - , PMC10252041 
 taurocyamine , - , - , - , - , PMC5621665d 
 Taurodeoxycholates , Total dairy intake , - , - , - , ID10 
 taurodeoxycholate , dietary fiber (RM) , - , - , - , PMC4455235 
 Taurodeoxycholic acid , - , - , - , - , PMC11064513 
 Taurodeoxycholic acid , - , - , Liver , - , PMC8494768 
 Taurohyocholic acid , Fermented buckwheat , - , - , - , ID2311 
 taurohyodeoxycholic acid , - , - , Fecal , - , PMC4455235 
 taurolithocholate 3-sulfate , - , - , - , - , PMC4455235 
 taurolithocholate 3-sulfate , - , - , - , - , PMC5621665d 
 taurolithocholate , - , - , - , - , PMC4455235 
 taurolithocholate 3-sulfate , - , - , - , - , PMC4455235 
 Taurolithocholic acid 3-sulfate , - , - ," Plasma, Urine (24hr) ", - , ID1742 
 Taurolithocholic acid , - , - , Cecum microbial samples , - , PMC11064513 
 Tauromuricholic acid , Scenedesmus diet , - , Feces , - , PMC6770930b 
 Tauroursocholic acid , Fermented buckwheat , - , - , - , ID2311 
 tauroursodeoxycholate , - , - , - , - , PMC4455235 
 Tauroursodeoxycholic acid , - , - , - , - , PMC10694655 
 Tauroursodeoxycholic acid , - , - , - , Bile Acids , ID3117 
 Taurocholic acid , 20% Scenedesmus dietary treatment , - , Feces , - , PMC6770930 
 Taurochenodeoxycholic acid , 20% Scenedesmus diet , - , Feces , - , PMC6770930 
 Terminal CH peaks of fatty acid chains ," beef, horse ", - , - , - , ID1944 
 Ternatin C5 , PDO Grana Padano cheese , - , - , Untargeted metabolomics , ID3546 
 Terpenes , Olive Oil , - , - , - , ID1944 
 Terpenoids , - , - , - , - , PMC5403934 
 terpinen-4-ol , beer , - , - , - , ID2084 
 terpinene-4-ol , citrus species , - , - , - , PMC8510114 
 terpinolene , mint , - , - , - , ID2452 
 terpinolene , citrus species , - , - , - , PMC8510114 
 Tertiary bile acids , - , - , - , - , ID2551 
 Tetracosahexaenoic acid , - , - , Plasma , - , ID1758 
 Tetracosahexaenoic acid , Chrysanthemum morifolium , - , - , - , ID2311 
 tetracosahexaenoic acid , - , - , - , UHPLC-DAD-QTOF , PMC9952125 
 Tetracosanoic acid , - , 2448 participants , Plasma , - , PMC4310362 
 Tetracosenoic acid , - , 2448 participants , Plasma , - , PMC4310362 
 Tetradecanal , Chicken meat , - , - , - , ID1229 
 Tetradecanal , - , - , - , - , ID3750 
 Tetradecanal , Soybean meal yogurt , - , - , - , ID3789 
 Tetradecanamide ," raw maize, ogi samples ", - , - , - , ID3110 
 Tetradecanamide , Fermented maize products , - , - , - , PMC10776939 
 Tetradecanedioate , - , - , - , - , PMC11634715 
 Tetradecanedioic acid , - , - , - , - , PMC10229427c 
 Tetradecane , Soybean meal yogurt , - , - , - , ID3789 
 Tetradecanoic acid , Dairy , - ," Plasma, Adipose, CE, PL, TG+FFA ", - , PMC6770493b 
" Tetradecanoic acid,10,13-dimethyl-,methylester ", Moringa oleifera seed oil , - , - , GC×GC-MS , PMC9506141 
 Tetradecanoic acid , *Crataegus pinnatifida*; *Litchi chinensis* , - ," Adipose; Serum, urine ", GC-MS , ID2311 
 Tetradecanoic acid , Fermented milk , - , - , GC-MS , ID3777 
 Tetradecanoylcarnitine , - , - , - , LC-MS/MS , PMC10392861 
 tetradecanoylcarnitine , - , - , - , - , PMC9460359 
 Tetrahydroaldosterone glucuronide , - , - , Urine , MSI-CE-MS , PMC10608872 
 Tetrahydroaldosterone-3-glucuronide , - , - , Urine , - , PMC11222465 
 Tetrahydrocortisol glucuronide , - , - , - , - , PMC11419218 
 Tetrahydrocortisol sulfate , wine , - , plasma ," LC-MS/MS, UPLC-MS/MS ", PMC10673339 
 Tetrahydrocortisone , - , - , - , - , PMC11064513 
